Heading,List Text,Bold Items,List Links
Iron Age[edit],Late 7th or early 6th century BC: Wagonway called Diolkos across the Isthmus of Corinth in Ancient Greece,['Late 7th or early 6th century BC:'],"['/wiki/Wagonway', '/wiki/Diolkos', '/wiki/Isthmus_of_Corinth', '/wiki/Ancient_Greece']"
Classical antiquity and medieval era[edit],"500 - 200 BC: Toe stirrup , depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India) [210] [211] although may have originated as early as 500 BC. [212]",['500 - 200 BC:'],"['/wiki/Stirrup#Precursors', '/wiki/Satavahana_dynasty', '#cite_note-216', '#cite_note-217', '#cite_note-218']"
Classical antiquity and medieval era[edit],"485 BC: Catapult by Ajatashatru in Magadha , India . [213] [214]",['485 BC:'],"['/wiki/Catapult', '/wiki/Ajatashatru', '/wiki/Magadha', '/wiki/India', '#cite_note-Ajatashatru-219', '#cite_note-aja_date-220']"
Classical antiquity and medieval era[edit],"485 BC: Scythed chariot by Ajatashatru in Magadha , India . [213] [214]",['485 BC:'],"['/wiki/Ajatashatru', '/wiki/Magadha', '/wiki/India', '#cite_note-Ajatashatru-219', '#cite_note-aja_date-220']"
Classical antiquity and medieval era[edit],"5th century BC: Cast iron in Ancient China : Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou Dynasty (1122–256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province. [215] [216] [217]",['5th century BC:'],"['/wiki/Cast_iron', '/wiki/History_of_China#Ancient_China', '/wiki/Jiangsu', '#cite_note-wagner_7_36_37_64_68-221', '#cite_note-222', '#cite_note-pigott_1999_177-223']"
Classical antiquity and medieval era[edit],"480 BC: Spiral stairs (Temple A) in Selinunte , Sicily (see also List of ancient spiral stairs ) [218] [219]",['480 BC:'],"['/wiki/Spiral_stairs', '/wiki/Selinunte', '/wiki/Sicily', '/wiki/List_of_ancient_spiral_stairs', '#cite_note-224', '#cite_note-225']"
Classical antiquity and medieval era[edit],By 407 BC: Early descriptions of what may be a Wheelbarrow in Greece. [220] First actual depiction of one (tomb mural) shows up in China in 118 AD. [221],['By 407 BC:'],"['/wiki/Wheelbarrow', '#cite_note-226', '/wiki/China', '#cite_note-227']"
Classical antiquity and medieval era[edit],By 400 BC: Camera obscura described by Mo-tzu (or Mozi ) in China. [222],['By 400 BC:'],"['/wiki/Camera_obscura', '/wiki/Mozi', '#cite_note-228']"
5th century BC[edit],"500 - 200 BC: Toe stirrup , depicted in 2nd century Buddhist art, of the Sanchi and Bhaja Caves, of the Deccan Satavahana empire (modern-day India) [210] [211] although may have originated as early as 500 BC. [212]",['500 - 200 BC:'],"['/wiki/Stirrup#Precursors', '/wiki/Satavahana_dynasty', '#cite_note-216', '#cite_note-217', '#cite_note-218']"
5th century BC[edit],"485 BC: Catapult by Ajatashatru in Magadha , India . [213] [214]",['485 BC:'],"['/wiki/Catapult', '/wiki/Ajatashatru', '/wiki/Magadha', '/wiki/India', '#cite_note-Ajatashatru-219', '#cite_note-aja_date-220']"
5th century BC[edit],"485 BC: Scythed chariot by Ajatashatru in Magadha , India . [213] [214]",['485 BC:'],"['/wiki/Ajatashatru', '/wiki/Magadha', '/wiki/India', '#cite_note-Ajatashatru-219', '#cite_note-aja_date-220']"
5th century BC[edit],"5th century BC: Cast iron in Ancient China : Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou Dynasty (1122–256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province. [215] [216] [217]",['5th century BC:'],"['/wiki/Cast_iron', '/wiki/History_of_China#Ancient_China', '/wiki/Jiangsu', '#cite_note-wagner_7_36_37_64_68-221', '#cite_note-222', '#cite_note-pigott_1999_177-223']"
5th century BC[edit],"480 BC: Spiral stairs (Temple A) in Selinunte , Sicily (see also List of ancient spiral stairs ) [218] [219]",['480 BC:'],"['/wiki/Spiral_stairs', '/wiki/Selinunte', '/wiki/Sicily', '/wiki/List_of_ancient_spiral_stairs', '#cite_note-224', '#cite_note-225']"
5th century BC[edit],By 407 BC: Early descriptions of what may be a Wheelbarrow in Greece. [220] First actual depiction of one (tomb mural) shows up in China in 118 AD. [221],['By 407 BC:'],"['/wiki/Wheelbarrow', '#cite_note-226', '/wiki/China', '#cite_note-227']"
5th century BC[edit],By 400 BC: Camera obscura described by Mo-tzu (or Mozi ) in China. [222],['By 400 BC:'],"['/wiki/Camera_obscura', '/wiki/Mozi', '#cite_note-228']"
4th century BC[edit],4th century BC: Traction trebuchet in Ancient China . [224],['4th century BC:'],"['/wiki/Trebuchet', '/wiki/History_of_China#Ancient_China', ""#cite_note-O'Callaghan-230""]"
4th century BC[edit],4th century BC: Gears in Ancient China,['4th century BC:'],"['/wiki/Gear', '/wiki/History_of_China#Ancient_China']"
4th century BC[edit],"4th century BC: Reed pens , utilising a split nib, were used to write with ink on Papyrus in Egypt. [224]",['4th century BC:'],"['/wiki/Reed_pen', '/wiki/Papyrus', ""#cite_note-O'Callaghan-230""]"
4th century BC[edit],"4th century BC: Nailed Horseshoe , with 4 bronze shoes found in an Etruscan tomb . [225]",['4th century BC:'],"['/wiki/Horseshoe', '/wiki/Etruscan_civilization', '#cite_note-231']"
4th century BC[edit],375 BC – 350 BC: Animal-driven rotary mill in Carthage. [226] [227],['375 BC – 350 BC:'],"['/wiki/Horse_mill', '#cite_note-FOOTNOTECurtis2008376-232', '#cite_note-FOOTNOTEde_Vos2011178-233']"
4th century BC[edit],By the late 4th century BC: Corporations in either the Maurya Empire of India [228] or in Ancient Rome ( Collegium ).,['By the late 4th century BC:'],"['/wiki/Corporation', '/wiki/Maurya_Empire', '#cite_note-234', '/wiki/Collegium_(ancient_Rome)']"
4th century BC[edit],Late 4th century BC: Cheque in the Maurya Empire of India. [229],['Late 4th century BC:'],"['/wiki/Cheque', '/wiki/Maurya_Empire', '#cite_note-235']"
4th century BC[edit],Late 4th century BC: Potassium nitrate manufacturing and military use in the Seleucid Empire . [230],['Late 4th century BC:'],"['/wiki/Potassium_nitrate', '/wiki/Seleucid_Empire', '#cite_note-236']"
4th century BC[edit],"Late 4th century BC: Formal systems by Pāṇini in India, possibly during the reign of Chandragupta Maurya . [231]",['Late 4th century BC:'],"['/wiki/Formal_system', '/wiki/P%C4%81%E1%B9%87ini', '/wiki/Chandragupta_Maurya', '#cite_note-237']"
4th century BC[edit],"4th to 3rd century BC: Zinc production in North-Western India during the Maurya Empire . [232] The earliest known zinc mines and smelting sites are from Zawar, near Udaipur , in Rajasthan . [233] [234]",['4th to 3rd century BC:'],"['/wiki/Zinc_mining#History', '/wiki/India', '/wiki/Maurya_Empire', '#cite_note-238', '/wiki/Udaipur', '/wiki/Rajasthan', '#cite_note-239', '#cite_note-240']"
3rd century BC[edit],"3rd century BC: Analog computers in the Hellenistic world (see e.g. the Antikythera mechanism ), possibly in Rhodes . [235]",['3rd century BC:'],"['/wiki/Analog_computers', '/wiki/Antikythera_mechanism', '/wiki/Rhodes', '#cite_note-241']"
3rd century BC[edit],"By at least the 3rd century BC: Archimedes' screw , one of the earliest hydraulic machines, was first used in the Nile river for irrigation purposes in Ancient Egypt [236]",['By at least the 3rd century BC:'],"['/wiki/Archimedes%27_screw', '/wiki/Hydraulic', '/wiki/Ancient_Egypt', '#cite_note-242']"
3rd century BC[edit],Early 3rd century BC: Canal lock in Canal of the Pharaohs under Ptolemy II (283–246 BC) in Hellenistic Egypt [237] [238] [239],['Early 3rd century BC:'],"['/wiki/Lock_(water_transport)', '/wiki/Canal_of_the_Pharaohs', '/wiki/Ptolemy_II', '/wiki/Hellenistic_Egypt', '#cite_note-243', '#cite_note-244', '#cite_note-245']"
3rd century BC[edit],"3rd century BC: Cam during the Hellenistic period , used in water-driven automata . [240]",['3rd century BC:'],"['/wiki/Cam_(mechanism)', '/wiki/Hellenistic_period', '/wiki/Automata', '#cite_note-246']"
3rd century BC[edit],"By the 3rd century BC: Water wheel . The origin is unclear: Indian Pali texts dating to the 4th century BCE refer to the cakkavattaka , which later commentaries describe as arahatta-ghati-yanta (machine with wheel-pots attached). Helaine Selin suggests that the device existed in Persia before 350 BC. [241] The clearest description of the water wheel and Liquid-driven escapement is provided by Philo of Byzantium (c. 280 – 220 BC) in the Hellenistic kingdoms. [242]",['By the 3rd century BC:'],"['/wiki/Water_wheel', '#cite_note-247', '/wiki/Escapement#Liquid-driven_escapements', '/wiki/Philo_of_Byzantium', '#cite_note-248']"
3rd century BC[edit],3rd century BC: Gimbal described by Philo of Byzantium [243],['3rd century BC:'],"['/wiki/Gimbal', '#cite_note-249']"
3rd century BC[edit],Late 3rd century BC: Dry dock under Ptolemy IV (221–205 BC) in Hellenistic Egypt [244],['Late 3rd century BC:'],"['/wiki/Dry_dock', '/wiki/Ptolemy_IV', '/wiki/Hellenistic_Egypt', '#cite_note-250']"
3rd century BC[edit],"3rd century BC – 2nd century BC: Blast furnace in Ancient China : The earliest discovered blast furnaces in China date to the 3rd and 2nd centuries BC, although most sites are from the later Han dynasty . [215] [245]",['3rd century BC – 2nd century BC:'],"['/wiki/Blast_furnace', '/wiki/History_of_China#Ancient_China', '/wiki/Han_dynasty', '#cite_note-wagner_7_36_37_64_68-221', '#cite_note-251']"
2nd century BC[edit],2nd century BC: Paper in Han dynasty China [nb 7],['2nd century BC:'],"['/wiki/Paper', '/wiki/Han_dynasty', '/wiki/China', '#cite_note-254']"
2nd century BC[edit],206 BC: Compass in Han dynasty China [248],['206 BC:'],"['/wiki/Compass', '/wiki/Han_dynasty', '/wiki/China', '#cite_note-255']"
2nd century BC[edit],Early 2nd century BC: Astrolabe invented by Apollonius of Perga .,['Early 2nd century BC:'],"['/wiki/Astrolabe', '/wiki/Apollonius_of_Perga']"
1st century BC[edit],"1st century BC: Segmental arch bridge (e.g. Pont-Saint-Martin or Ponte San Lorenzo ) in Italy , Roman Republic [249] [250]",['1st century BC:'],"['/wiki/Arch_bridge', '/wiki/Pont-Saint-Martin_(bridge)', '/wiki/Ponte_San_Lorenzo', '/wiki/Italy', '/wiki/Roman_Republic', '#cite_note-256', '#cite_note-257']"
1st century BC[edit],"1st century BC: News bulletin during the reign of Julius Caesar. [251] A paper form, i.e. the earliest newspaper , later appeared during the late Han dynasty in the form of the Dibao . [252] [253] [254]",['1st century BC:'],"['#cite_note-Chisholm_1911,_p._159-258', '/wiki/Newspaper', '/wiki/Dibao', '#cite_note-259', '#cite_note-if30-260', '#cite_note-261']"
1st century BC[edit],"1st century BC: Arch dam ( Glanum Dam ) in Gallia Narbonensis , Roman Republic (see also List of Roman dams ) [255] [256] [257] [258] [259]",['1st century BC:'],"['/wiki/Arch_dam', '/wiki/Glanum_Dam', '/wiki/Gallia_Narbonensis', '/wiki/Roman_Republic', '/wiki/List_of_Roman_dams', '#cite_note-262', '#cite_note-263', '#cite_note-264', '#cite_note-265', '#cite_note-266']"
1st century BC[edit],Before 40 BC: Trip hammer in China [260],['Before 40 BC:'],"['/wiki/Trip_hammer', '/wiki/China', '#cite_note-needham_volume_4_part_2_184-267']"
1st century BC[edit],"38 BC: An empty shell Glyph for zero , is found on a Maya numerals Stela, from Chiapa de Corzo, Chiapas . Independently invented by Claudius Ptolemy , in the second century CE Egypt, and appearing in the calculations of the Almagest .",['38 BC:'],"['/wiki/0#Pre-Columbian_Americas', '/wiki/Maya_numerals', '/wiki/Chiapas', '/wiki/Ptolemy', '/wiki/Almagest']"
1st century BC[edit],37 BC - 14 BC: Glass blowing developed in Jerusalem. [261] [262] [263],['37 BC - 14 BC:'],"['/wiki/Glass_blowing', '#cite_note-Avigad-268', '#cite_note-Tattona-269', '#cite_note-Stern-270']"
1st century BC[edit],"Before 25 BC: Reverse overshot water wheel by Roman engineers in Rio Tinto , Spain [264]",['Before 25 BC:'],"['/wiki/Reverse_overshot_water_wheel', '/wiki/Roman_engineering', '/wiki/Rio_Tinto_(river)', '#cite_note-271']"
1st century BC[edit],25 BC: Noodle in Lajia in China [265],['25 BC:'],"['/wiki/Noodle', '/wiki/Lajia', '/wiki/China', '#cite_note-272']"
1st century AD[edit],"1st century AD: The aeolipile , a simple steam turbine is recorded by Hero of Alexandria. [266]",['1st century AD:'],"['/wiki/Aeolipile', '/wiki/Steam_turbine', '#cite_note-273']"
1st century AD[edit],1st century AD: The first use of respiratory protective equipment is documented by Pliny the Elder ( c. 23 AD –79) using animal bladder skins to protect workers in Roman mines from red lead oxide dust. [267],['1st century AD:'],"['/wiki/Respiratory_protective_equipment', '/wiki/Pliny_the_Elder', '#cite_note-274']"
1st century AD[edit],1st century AD: Vending machines invented by Hero of Alexandria .,['1st century AD:'],"['/wiki/Vending_machine', '/wiki/Hero_of_Alexandria']"
1st century AD[edit],By the 1st century AD: The double-entry bookkeeping system in the Roman Empire. [268],['By the 1st century AD:'],"['/wiki/Double-entry_bookkeeping', '#cite_note-275']"
2nd century[edit],"132: Seismometer and pendulum in Han dynasty China , built by Zhang Heng . It is a large metal urn-shaped instrument which employed either a suspended pendulum or inverted pendulum acting on inertia, like the ground tremors from earthquakes , to dislodge a metal ball by a lever trip device. [269] [270]",['132:'],"['/wiki/Seismometer', '/wiki/Pendulum', '/wiki/Han_dynasty', '/wiki/China', '/wiki/Zhang_Heng', '/wiki/Inverted_pendulum', '/wiki/Earthquake', '#cite_note-276', '#cite_note-277']"
2nd century[edit],2nd century: Carding in India. [271],['2nd century:'],"['/wiki/Carding', '#cite_note-Baber1-278']"
3rd century[edit],By at least the 3rd century: Crystallized sugar in India. [275],['By at least the 3rd century:'],['#cite_note-282']
3rd century[edit],Early 3rd century: Woodblock printing is invented in Han dynasty China at sometime before 220 AD. This made China become the world's first print culture . [276],['Early 3rd century:'],"['/wiki/Woodblock_printing', '/wiki/Han_dynasty', '/wiki/China', '/wiki/Print_culture', '#cite_note-283']"
3rd century[edit],Late 3rd century – Early 4th century: Water turbine in the Roman Empire in modern-day Tunisia . [277] [278] [279],['Late 3rd century – Early 4th century:'],"['/wiki/Water_turbine', '/wiki/Roman_Empire', '/wiki/Tunisia', '#cite_note-284', '#cite_note-285', '#cite_note-286']"
4th century[edit],"280 - 550: Chaturanga , a precursor of Chess was invented in India during the Gupta Empire . [280] [281] [282]",['280 - 550:'],"['/wiki/Chaturanga', '/wiki/Chess', '/wiki/Gupta_Empire', '#cite_note-287', '#cite_note-288', '#cite_note-289']"
4th century[edit],"4th century: Roman Dichroic glass , which displays one of two different colors depending on lighting conditions.",['4th century:'],['/wiki/Dichroic_glass']
4th century[edit],"4th century: Mariner's compass in Tamil Southern India: the first mention of the use of a compass for navigational purposes is found in Tamil nautical texts as the macchayantra . [283] [284] However, the theoretical notion of magnets pointing North predates the device by several centuries.",['4th century:'],"['/wiki/Compass', '#cite_note-290', '#cite_note-291']"
4th century[edit],"4th century: Simple suspension bridge , independently invented in Pre-Columbian South America,  and the Hindu Kush range, of present-day Afghanistan and Pakistan . With Han dynasty travelers noting bridges being constructed from 3 or more vines or 3 ropes. [285] Later bridges constructed utilizing cables of iron chains appeared in Tibet. [286] [287]",['4th century:'],"['/wiki/Simple_suspension_bridge#History', '/wiki/Hindu_Kush', '/wiki/Afghanistan', '/wiki/Pakistan', '#cite_note-needham_1986_volume_4_part_3_187−189-292', '#cite_note-Peters-293', '#cite_note-294']"
4th century[edit],"4th century: Fishing reel in Ancient China : In literary records, the earliest evidence of the fishing reel comes from a 4th-century AD [288] work entitled Lives of Famous Immortals . [289]",['4th century:'],"['/wiki/Fishing_reel', '/wiki/History_of_China#Ancient_China', '#cite_note-295', '#cite_note-296']"
4th century[edit],347: Oil Wells and Borehole drilling in China . Such wells could reach depths of up to 240 m (790 ft). [290],['347:'],"['/wiki/Oil_Well', '/wiki/Borehole', '/wiki/China', '#cite_note-ASTM-297']"
4th century[edit],4th century – 5th century: Paddle wheel boat (in De rebus bellicis ) in Roman Empire [291],[],"['/wiki/Paddle_wheel_boat', '/wiki/De_rebus_bellicis', '/wiki/Roman_Empire', '#cite_note-298']"
5th century[edit],"400: The construction of the Iron pillar of Delhi in Mathura by the Gupta Empire shows the development of rust-resistant ferrous metallurgy in Ancient India, [292] [293] although original texts do not survive to detail the specific processes invented in this period.",['400:'],"['/wiki/Iron_pillar_of_Delhi', '/wiki/Mathura', '/wiki/Gupta_Empire', '#cite_note-299', '#cite_note-300']"
5th century[edit],"5th century: The horse collar as a fully developed collar harness is developed in Southern and Northern Dynasties China during the 5th century AD. [294] The earliest depiction of it is a Dunhuang cave mural from the Chinese Northern Wei Dynasty , the painting dated to 477–499. [295]",['5th century:'],"['/wiki/Horse_collar', '/wiki/Southern_and_Northern_Dynasties', '/wiki/China', '#cite_note-needham_volume_4_part_2_28-301', '/wiki/Dunhuang', '/wiki/Mural', '/wiki/Northern_Wei_Dynasty', '/wiki/Painting', '#cite_note-needham_volume_4_part_2_322-302']"
5th century[edit],"5th century - 6th century: Pointed arch bridge ( Karamagara Bridge ) in Cappadocia , Eastern Roman Empire [296] [297]",['5th century - 6th century:'],"['/wiki/Pointed_arch_bridge', '/wiki/Karamagara_Bridge', '/wiki/Cappadocia', '/wiki/Eastern_Roman_Empire', '#cite_note-303', '#cite_note-304']"
6th century[edit],By the 6th century: Incense clock in China. [298] [299],['By the 6th century:'],"['/wiki/Incense_clock', '#cite_note-Schafer161-305', '#cite_note-Bedini69-306']"
6th century[edit],"After 500: Charkha (spinning wheel/cotton gin) invented in India (probably during the Vakataka dynasty of Maharashtra, India ), between 500 and 1000 A.D. [300]",['After 500:'],"['/wiki/Charkha_(spinning_wheel)', '/wiki/Vakataka_dynasty', '/wiki/Maharashtra,_India', '#cite_note-307']"
6th century[edit],"563: Pendentive dome ( Hagia Sophia ) in Constantinople , Eastern Roman Empire [301]",['563:'],"['/wiki/Pendentive', '/wiki/Dome', '/wiki/Hagia_Sophia', '/wiki/Constantinople', '/wiki/Eastern_Roman_Empire', '#cite_note-308']"
6th century[edit],577: Sulfur matches exist in China .,['577:'],"['/wiki/Match#Early_matches', '/wiki/China']"
6th century[edit],"589: Toilet paper in Sui dynasty China , first mentioned by the official Yan Zhitui (531–591), with full evidence of continual use in subsequent dynasties. [302] [303]",['589:'],"['/wiki/Toilet_paper', '/wiki/Sui_dynasty', '/wiki/China', '/wiki/Yan_Zhitui', '#cite_note-needham_volume_5_part_1_123-309', '#cite_note-310']"
7th century[edit],619: Toothbrush in China during the Tang Dynasty [304],['619:'],"['/wiki/Toothbrush', '/wiki/China', '/wiki/Tang_Dynasty', '#cite_note-kumar-412413-311']"
7th century[edit],"672: Greek fire in Constantinople , Byzantine Empire : Greek fire, an incendiary weapon likely based on petroleum or naphtha , is invented by Kallinikos, a Lebanese Greek refugee from Baalbek , as described by Theophanes . [305] However, the historicity and exact chronology of this account is dubious, [306] and it could be that Kallinikos merely introduced an improved version of an established weapon. [307]",['672:'],"['/wiki/Greek_fire', '/wiki/Constantinople', '/wiki/Byzantine_Empire', '/wiki/Incendiary_device', '/wiki/Petroleum', '/wiki/Naphtha', '/wiki/Baalbek', '/wiki/Theophanes_the_Confessor', '#cite_note-312', '#cite_note-313', '#cite_note-314']"
7th century[edit],"7th century: Banknote in Tang dynasty China : The banknote is first developed in China during the Tang and Song dynasties, starting in the 7th century. Its roots are in merchant receipts of deposit during the Tang Dynasty (618–907), as merchants and wholesalers desire to avoid the heavy bulk of copper coinage in large commercial transactions. [308] [309] [310]",['7th century:'],"['/wiki/Banknote', '/wiki/Tang_dynasty', '/wiki/China', '/wiki/Economy_of_the_Song_Dynasty#Paper_currency', '/wiki/Tang_Dynasty', '/wiki/Song_Dynasty', '/wiki/Receipt', '/wiki/Four_occupations#The_shang_(商)', '/wiki/Wholesaler', '/wiki/Chinese_coins', '#cite_note-Ebrey,_Walthall,_and_Palais-315', '#cite_note-Bowman-316', '#cite_note-gernet_1962_80-317']"
7th century[edit],"7th century: Porcelain in Tang dynasty China : True porcelain is manufactured in northern China from roughly the beginning of the Tang Dynasty in the 7th century, while true porcelain was not manufactured in southern China until about 300 years later, during the early 10th century. [311]",['7th century:'],"['/wiki/Porcelain', '/wiki/Tang_dynasty', '/wiki/China', '#cite_note-318']"
8th century[edit],"9th century: Gunpowder in Tang dynasty China : Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality . [312] Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618–907). [313] The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao , a military manuscript compiled in 1044 during the Song Dynasty (960–1279). [314] [315] [316]",['9th century:'],"['/wiki/Gunpowder', '/wiki/Tang_dynasty', '/wiki/China', '/wiki/Chinese_alchemy', '/wiki/Elixir_of_life', '#cite_note-Jack_Kelly_2005-319', '/wiki/Five_Dynasties_and_Ten_Kingdoms_period', '#cite_note-320', '/wiki/Wujing_Zongyao', '#cite_note-321', '#cite_note-gernet_1996_311-322', '#cite_note-323']"
8th century[edit],9th century: Playing card in Tang Dynasty China [317] [318] [319] [320] [321],['9th century:'],"['/wiki/Playing_card', '/wiki/Tang_Dynasty', '/wiki/China', '#cite_note-324', '#cite_note-wilkinson-325', '#cite_note-lo_2000_390-326', '#cite_note-327', '#cite_note-328']"
8th century[edit],857 - 859: Degree-granting university in Morocco [322],['857 - 859:'],"['/wiki/University', '#cite_note-thaqafamagazine.com-329']"
9th century[edit],"9th century: Gunpowder in Tang dynasty China : Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality . [312] Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618–907). [313] The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao , a military manuscript compiled in 1044 during the Song Dynasty (960–1279). [314] [315] [316]",['9th century:'],"['/wiki/Gunpowder', '/wiki/Tang_dynasty', '/wiki/China', '/wiki/Chinese_alchemy', '/wiki/Elixir_of_life', '#cite_note-Jack_Kelly_2005-319', '/wiki/Five_Dynasties_and_Ten_Kingdoms_period', '#cite_note-320', '/wiki/Wujing_Zongyao', '#cite_note-321', '#cite_note-gernet_1996_311-322', '#cite_note-323']"
9th century[edit],9th century: Playing card in Tang Dynasty China [317] [318] [319] [320] [321],['9th century:'],"['/wiki/Playing_card', '/wiki/Tang_Dynasty', '/wiki/China', '#cite_note-324', '#cite_note-wilkinson-325', '#cite_note-lo_2000_390-326', '#cite_note-327', '#cite_note-328']"
9th century[edit],857 - 859: Degree-granting university in Morocco [322],['857 - 859:'],"['/wiki/University', '#cite_note-thaqafamagazine.com-329']"
10th century[edit],"10th century: Fire lance in Song dynasty China , developed in the 10th century with a tube of first bamboo and later on metal that shot a weak gunpowder blast of flame and shrapnel, its earliest depiction is a painting found at Dunhuang . [323] Fire lance is the earliest firearm in the world and one of the earliest gunpowder weapons. [324] [325]",['10th century:'],"['/wiki/Fire_lance', '/wiki/Song_dynasty', '/wiki/China', '/wiki/Gunpowder', '/wiki/Dunhuang', '#cite_note-330', '/wiki/Firearm', '#cite_note-Helaine-331', '#cite_note-332']"
10th century[edit],"10th century: Fireworks in Song dynasty China : Fireworks first appear in China during the Song Dynasty (960–1279), in the early age of gunpowder . Fireworks could be purchased from market vendors; these were made of sticks of bamboo packed with gunpowder. [326]",['10th century:'],"['/wiki/Fireworks', '/wiki/Song_dynasty', '/wiki/China', '/wiki/Gunpowder', '/wiki/Bamboo', '#cite_note-333']"
10th century[edit],974: Fountain pen : invented at the request of al-Mu'izz li-Din Allah in Arab Egypt . [327],['974:'],"['/wiki/Fountain_pen', '/wiki/Al-Mu%27izz_li-Din_Allah', '/wiki/Egypt_in_the_Middle_Ages', '#cite_note-334']"
11th century[edit],11th century: Early versions of the Bessemer process are developed in China.,['11th century:'],['/wiki/Bessemer_process']
11th century[edit],11th century: Endless power-transmitting chain drive by Su Song for the development an astronomical clock (the Cosmic Engine ) [328],['11th century:'],"['/wiki/Su_Song#The_endless_chain_drive', '/wiki/Su_Song', '/wiki/Su_Song#Horology_and_mechanical_engineering', '#cite_note-needham_volume_4_111-335']"
11th century[edit],"1088: Movable type in Song dynasty China : The first record of a movable type system is in the Dream Pool Essays , which attributes the invention of the movable type to Bi Sheng . [329] [330] [331] [332]",['1088:'],"['/wiki/Movable_type', '/wiki/Song_dynasty', '/wiki/China', '/wiki/Dream_Pool_Essays', '/wiki/Bi_Sheng', '#cite_note-336', '#cite_note-gernet_1996_335-337', '#cite_note-bowman_2000_599-338', '#cite_note-day_mcneil_70-339']"
12th century[edit],13th century: Rocket for military and recreational uses date back to at least 13th-century China. [333],['13th century:'],"['/wiki/Rocket', '#cite_note-340']"
12th century[edit],"13th century: The earliest form of mechanical escapement , the verge escapement in Europe . [334]",['13th century:'],"['/wiki/Mechanical_escapement', '/wiki/Verge_escapement', '/wiki/Europe', '#cite_note-341']"
12th century[edit],13th century: Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany . [335],['13th century:'],"['/wiki/Button', '/wiki/Germany', '#cite_note-342']"
12th century[edit],"13th century: Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song Dynasty city. [336] The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"", [337] coined during a Jin dynasty naval battle in 1231. [338]",['13th century:'],"['/wiki/Bomb', '/wiki/Jin_dynasty_(1115%E2%80%931234)', '/wiki/Jin_dynasty_(1115%E2%80%931234)', '/wiki/Song_Dynasty', '#cite_note-Connolly-343', '#cite_note-344', '/wiki/Jin_dynasty_(1115%E2%80%931234)', '#cite_note-needham_volume_5_part_7_171-345']"
12th century[edit],"13th century: Hand cannon in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan Dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu , this being the earliest known event where this phrase is used. [339]",['13th century:'],"['/wiki/Hand_cannon', '/wiki/Yuan_dynasty', '/wiki/Heilongjiang', '/wiki/Jurchens', '#cite_note-346']"
12th century[edit],"13th century: Earliest documented snow goggles , a type of sunglasses, made of flattened walrus or caribou ivory are used by the Inuit peoples in the arctic regions of North America. [340] [341] In China, the first sunglasses consisting of flat panes of smoky quartz are documented. [342] [343]",['13th century:'],"['/wiki/Snow_goggles', '#cite_note-347', '#cite_note-348', '/wiki/Smoky_quartz', '#cite_note-349', '#cite_note-Vision-350']"
12th century[edit],13th century - 14th century: Worm gear cotton gin in India. [344],['13th century - 14th century:'],"['/wiki/Cotton_gin', '#cite_note-351']"
12th century[edit],"1277: Land mine in Song dynasty China : Textual evidence suggests that the first use of a land mine in history is by a Song Dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' ( huo pao ) to kill Mongol soldiers invading Guangxi in 1277. [345]",['1277:'],"['/wiki/Land_mine', '/wiki/Song_dynasty', '/wiki/China', '/wiki/History_of_the_Song_Dynasty#Mongol_invasion_and_end_of_the_Song_Dynasty', '/wiki/Guangxi', '#cite_note-352']"
12th century[edit],1286: Eyeglasses in Italy [346],['1286:'],"['/wiki/Eyeglasses', '/wiki/Italy', '#cite_note-353']"
13th century[edit],13th century: Rocket for military and recreational uses date back to at least 13th-century China. [333],['13th century:'],"['/wiki/Rocket', '#cite_note-340']"
13th century[edit],"13th century: The earliest form of mechanical escapement , the verge escapement in Europe . [334]",['13th century:'],"['/wiki/Mechanical_escapement', '/wiki/Verge_escapement', '/wiki/Europe', '#cite_note-341']"
